date,unemployment benefits,severance,linkedin,jobs near me,indeed
2023-07-30,6.14795918367347,2.418300653594771,64.70100925147182,39.11599176389842,86.7602413464592
2023-08-06,6.14795918367347,2.418300653594771,62.25946173254836,40.338366506520245,87.98221657669102
2023-08-13,6.14795918367347,2.418300653594771,59.817914213624896,42.7831159917639,91.64814226738648
2023-08-20,6.14795918367347,2.418300653594771,62.25946173254836,40.338366506520245,85.53826611622738
2023-08-27,6.14795918367347,2.418300653594771,57.376366694701424,37.8936170212766,80.6503651953001
2023-09-03,4.918367346938776,2.418300653594771,53.71404541631623,36.67124227865477,75.76246427437282
2023-09-10,4.918367346938776,2.418300653594771,58.59714045416316,35.44886753603294,74.540489044141
2023-09-17,4.918367346938776,2.418300653594771,58.59714045416316,35.44886753603294,79.42838996506828
2023-09-24,6.14795918367347,2.418300653594771,58.59714045416316,36.67124227865477,83.09431565576374
2023-10-01,6.14795918367347,2.418300653594771,54.93481917577796,33.004118050789295,74.540489044141
2023-10-08,4.918367346938776,2.418300653594771,54.93481917577796,29.336993822923816,78.20641473483646
2023-10-15,4.918367346938776,2.418300653594771,54.93481917577796,31.781743308167467,73.31851381390918
2023-10-22,4.918367346938776,2.418300653594771,54.93481917577796,30.55936856554564,74.540489044141
2023-10-29,4.918367346938776,2.418300653594771,56.155592935239696,30.55936856554564,74.540489044141
2023-11-05,4.918367346938776,2.418300653594771,57.376366694701424,35.44886753603294,74.540489044141
2023-11-12,4.918367346938776,2.418300653594771,52.493271656854496,31.781743308167467,70.87456335344554
2023-11-19,4.918367346938776,2.418300653594771,32.960891505466776,28.114619080301992,51.32295966973643
2023-11-26,6.14795918367347,2.418300653594771,52.493271656854496,34.22649279341112,70.87456335344554
2023-12-03,4.918367346938776,2.418300653594771,52.493271656854496,31.781743308167467,69.65258812321372
2023-12-10,4.918367346938776,2.418300653594771,51.27249789739277,30.55936856554564,67.20863766275008
2023-12-17,4.918367346938776,2.418300653594771,43.94785534062237,30.55936856554564,57.43283582089553
2023-12-24,4.918367346938776,1.2091503267973855,31.740117746005044,29.336993822923816,52.54493489996825
2023-12-31,4.918367346938776,2.418300653594771,50.05172413793103,36.67124227865477,75.76246427437282
2024-01-07,6.14795918367347,2.418300653594771,58.59714045416316,35.44886753603294,76.98443950460464
2024-01-14,4.918367346938776,2.418300653594771,52.493271656854496,36.67124227865477,72.09653858367736
2024-01-21,4.918367346938776,2.418300653594771,63.48023549201009,37.8936170212766,73.31851381390918
2024-01-28,3.6887755102040822,3.6274509803921564,63.48023549201009,34.22649279341112,72.09653858367736
2024-02-04,3.6887755102040822,2.418300653594771,63.48023549201009,36.67124227865477,67.20863766275008
2024-02-11,3.6887755102040822,2.418300653594771,58.59714045416316,30.55936856554564,63.54271197205462
2024-02-18,4.918367346938776,2.418300653594771,58.59714045416316,31.781743308167467,64.76468720228644
2024-02-25,3.6887755102040822,2.418300653594771,59.817914213624896,30.55936856554564,59.87678628135916
2024-03-03,4.918367346938776,2.418300653594771,63.48023549201009,29.336993822923816,62.3207367418228
2024-03-10,3.6887755102040822,2.418300653594771,57.376366694701424,30.55936856554564,62.3207367418228
2024-03-17,4.918367346938776,2.418300653594771,58.59714045416316,33.004118050789295,65.98666243251826
2024-03-24,3.6887755102040822,2.418300653594771,57.376366694701424,31.781743308167467,61.09876151159098
2024-03-31,3.6887755102040822,2.418300653594771,58.59714045416316,30.55936856554564,64.76468720228644
2024-04-07,3.6887755102040822,2.418300653594771,54.93481917577796,31.781743308167467,62.3207367418228
2024-04-14,4.918367346938776,3.6274509803921564,59.817914213624896,35.44886753603294,65.98666243251826
2024-04-21,3.6887755102040822,2.418300653594771,58.59714045416316,35.44886753603294,62.3207367418228
2024-04-28,3.6887755102040822,2.418300653594771,62.25946173254836,30.55936856554564,58.65481105112734
2024-05-05,3.6887755102040822,2.418300653594771,53.71404541631623,34.22649279341112,63.54271197205462
2024-05-12,3.6887755102040822,2.418300653594771,54.93481917577796,36.67124227865477,67.20863766275008
2024-05-19,4.918367346938776,2.418300653594771,56.155592935239696,39.11599176389842,69.65258812321372
2024-05-26,4.918367346938776,2.418300653594771,47.61017661900757,40.338366506520245,64.76468720228644
2024-06-02,4.918367346938776,2.418300653594771,59.817914213624896,42.7831159917639,70.87456335344554
2024-06-09,4.918367346938776,3.6274509803921564,54.93481917577796,40.338366506520245,68.4306128929819
