,CA,TX,FL
1996-08-31,52898.0,11693.0,8642.0
1996-09-07,50154.0,12137.0,7523.0
1996-09-14,58116.0,12823.0,8993.0
1996-09-21,57381.0,12693.0,8558.0
1996-09-28,57486.0,12312.0,7353.0
1996-10-05,62847.0,12624.0,9697.0
1996-10-12,61841.0,13476.0,8948.0
1996-10-19,56540.0,12634.0,8312.0
1996-10-26,60369.0,13231.0,8251.0
1996-11-02,67148.0,13311.0,8294.0
1996-11-09,71089.0,12675.0,8973.0
1996-11-16,63022.0,12993.0,7712.0
1996-11-23,82586.0,15630.0,8333.0
1996-11-30,47726.0,16281.0,5048.0
1996-12-07,75557.0,12228.0,9135.0
1996-12-14,75953.0,18233.0,8214.0
1996-12-21,65273.0,22341.0,7618.0
1996-12-28,63329.0,13320.0,6372.0
1997-01-04,69504.0,14715.0,7111.0
1997-01-11,75957.0,20582.0,11127.0
1997-01-18,74541.0,13909.0,10068.0
1997-01-25,65490.0,18834.0,7943.0
1997-02-01,76575.0,13614.0,9022.0
1997-02-08,82154.0,14892.0,8884.0
1997-02-15,60208.0,13316.0,8286.0
1997-02-22,61853.0,14401.0,7654.0
1997-03-01,62571.0,12235.0,7908.0
1997-03-08,63405.0,13501.0,8341.0
1997-03-15,57514.0,14024.0,7676.0
1997-03-22,57420.0,13304.0,7762.0
1997-03-29,55525.0,11314.0,6992.0
1997-04-05,59131.0,13268.0,9414.0
1997-04-12,55856.0,15163.0,9157.0
1997-04-19,54775.0,11060.0,8332.0
1997-04-26,52573.0,13131.0,8083.0
1997-05-03,57063.0,12260.0,8214.0
1997-05-10,57251.0,12969.0,9004.0
1997-05-17,53924.0,12556.0,8773.0
1997-05-24,53672.0,13115.0,9341.0
1997-05-31,48533.0,13473.0,8102.0
1997-06-07,60923.0,14114.0,10657.0
1997-06-14,58939.0,12583.0,10884.0
1997-06-21,61496.0,12858.0,10821.0
1997-06-28,61470.0,13224.0,9836.0
1997-07-05,58437.0,15283.0,10647.0
1997-07-12,60357.0,13244.0,13461.0
1997-07-19,56233.0,12854.0,10716.0
